time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.243	3.189	4.093	4.603	4.518	3.650	3.065	3.265	2.815	2.877	2.762	3.030	3.457	2.821	1.523	1.543	1.213	2.575	2.627	2.015	1.839	1.674	0.780	1.372	1.824	1.275	1.037	0.389	0.701	0.460	0.384	0.334	0.549	0.375	0.172	0.265	0.647	0.147	0.127	0.197	0.112	0.078	0.081	0.056	0.059	0.040	0.070	0.093	0.147	0.060	0.097	0.038	0.056	0.056	0.048	0.051	0.085	0.047	0.028	0.017	0.008	0.000	0.000	0.000	0.000
0.255	3.023	3.710	4.415	4.467	3.614	2.832	2.997	2.452	2.635	3.002	3.416	3.609	3.107	2.217	1.607	1.829	2.368	2.249	2.195	2.358	1.622	1.229	1.172	1.358	1.176	1.182	0.824	0.981	0.733	0.523	0.551	0.630	0.393	0.448	0.393	0.605	0.281	0.154	0.336	0.254	0.238	0.296	0.131	0.137	0.203	0.164	0.152	0.219	0.196	0.126	0.091	0.103	0.079	0.071	0.067	0.079	0.044	0.028	0.016	0.008	0.001	0.000	0.000	0.000
0.267	2.775	3.544	4.034	4.070	3.884	3.424	2.534	2.845	3.356	3.373	3.810	3.986	3.579	3.411	3.358	3.330	3.550	3.124	2.300	2.104	2.263	2.564	2.688	2.643	2.023	1.617	2.052	2.127	1.474	1.252	1.777	1.566	1.078	1.243	0.921	0.807	0.820	0.727	0.872	0.718	0.766	0.805	0.457	0.417	0.700	0.711	0.423	0.369	0.452	0.288	0.253	0.258	0.329	0.164	0.181	0.278	0.118	0.080	0.028	0.012	0.004	0.000	0.000	0.000
0.278	3.166	4.036	4.136	3.831	4.035	3.953	3.419	3.523	3.480	3.409	3.940	4.246	4.120	3.873	3.727	3.372	3.675	3.305	1.709	2.009	2.169	2.677	2.682	2.759	2.027	1.499	2.235	2.209	1.544	1.532	1.919	1.623	1.360	1.365	1.061	0.901	0.828	0.958	1.116	0.848	0.911	0.935	0.570	0.621	0.976	1.039	0.582	0.474	0.593	0.528	0.335	0.390	0.583	0.227	0.251	0.506	0.172	0.151	0.051	0.015	0.009	0.000	0.000	0.000
0.290	3.424	4.260	3.946	3.543	4.047	4.217	4.130	3.658	3.148	2.889	3.225	3.749	3.480	2.823	3.132	3.006	3.202	3.096	2.056	2.046	1.753	1.937	1.827	2.175	1.514	1.250	1.863	1.527	0.962	1.613	1.437	0.810	1.279	0.959	0.897	0.877	0.554	0.881	0.774	0.751	0.663	0.691	0.499	0.582	0.811	0.846	0.499	0.389	0.462	0.462	0.264	0.322	0.445	0.186	0.177	0.383	0.104	0.097	0.033	0.011	0.008	0.000	0.000	0.000
0.301	3.432	4.390	4.569	4.184	3.548	3.900	4.043	3.264	2.888	3.196	3.385	3.521	3.001	1.855	2.406	2.780	2.560	2.641	2.073	1.607	1.561	1.718	1.609	1.914	1.387	1.189	1.753	1.271	0.808	1.432	1.011	0.563	1.086	0.731	0.714	0.669	0.407	0.578	0.307	0.560	0.447	0.345	0.336	0.414	0.688	0.512	0.341	0.328	0.261	0.271	0.151	0.207	0.272	0.120	0.102	0.172	0.056	0.029	0.013	0.006	0.002	0.000	0.000	0.000
0.313	3.441	3.981	4.407	4.313	3.661	3.923	4.119	3.360	2.816	2.877	2.973	3.362	3.054	2.678	2.984	3.159	2.841	2.607	2.133	1.873	1.653	1.706	1.901	1.820	1.367	1.185	1.754	1.289	0.665	1.244	0.988	0.609	0.891	0.606	0.653	0.668	0.320	0.404	0.388	0.238	0.334	0.173	0.203	0.257	0.565	0.459	0.258	0.221	0.202	0.198	0.118	0.156	0.152	0.091	0.078	0.090	0.043	0.021	0.012	0.004	0.000	0.000	0.000	0.000
0.325	3.062	3.386	4.090	4.260	3.727	3.981	4.126	3.388	3.097	3.478	3.418	2.938	2.457	2.576	2.901	3.070	2.751	2.587	2.211	1.968	1.473	1.686	1.745	1.841	1.214	1.017	1.579	1.113	0.633	1.173	0.868	0.526	0.800	0.670	0.551	0.567	0.293	0.344	0.356	0.209	0.286	0.141	0.108	0.118	0.459	0.358	0.196	0.157	0.148	0.177	0.109	0.114	0.092	0.064	0.047	0.057	0.040	0.019	0.010	0.004	0.000	0.000	0.000	0.000
0.336	2.487	3.538	4.314	4.324	3.787	4.069	4.194	3.447	3.176	3.293	2.999	3.066	2.681	2.019	2.524	2.757	2.643	2.705	2.058	2.056	1.276	1.601	1.588	1.766	1.308	0.969	1.369	1.072	0.569	1.130	0.779	0.445	0.711	0.515	0.415	0.479	0.271	0.338	0.304	0.124	0.183	0.142	0.080	0.087	0.338	0.298	0.154	0.167	0.081	0.112	0.085	0.079	0.070	0.050	0.044	0.048	0.038	0.017	0.011	0.005	0.000	0.000	0.000	0.000
0.348	2.417	3.298	4.272	4.372	3.850	4.124	4.259	3.614	3.361	3.548	3.352	3.200	2.612	1.454	2.437	2.841	2.786	2.749	1.961	1.851	1.349	1.640	1.921	1.791	1.399	1.012	1.367	1.089	0.585	1.087	0.825	0.524	0.677	0.392	0.483	0.477	0.194	0.240	0.165	0.124	0.172	0.122	0.069	0.064	0.199	0.207	0.121	0.137	0.074	0.071	0.052	0.041	0.051	0.058	0.051	0.061	0.038	0.018	0.013	0.005	0.000	0.000	0.000	0.000
0.359	1.572	3.364	4.358	4.420	3.875	4.132	4.269	3.558	3.398	3.515	3.108	3.107	2.786	2.095	2.588	2.834	2.504	2.762	2.142	1.797	1.354	1.579	1.463	1.676	1.350	1.063	1.364	0.832	0.534	0.996	0.733	0.524	0.705	0.346	0.329	0.638	0.146	0.166	0.138	0.126	0.130	0.088	0.051	0.038	0.101	0.119	0.059	0.125	0.069	0.059	0.051	0.041	0.050	0.070	0.059	0.061	0.039	0.020	0.014	0.006	0.000	0.000	0.000	0.000
0.371	1.682	3.299	4.354	4.428	3.885	4.146	4.299	3.565	3.339	3.629	3.312	3.023	2.363	1.661	2.521	2.745	2.632	2.684	1.734	1.326	1.100	1.461	1.547	1.600	1.100	1.026	1.354	0.919	0.744	0.969	0.552	0.442	0.568	0.379	0.332	0.656	0.121	0.168	0.133	0.087	0.132	0.104	0.070	0.085	0.137	0.088	0.107	0.140	0.095	0.087	0.084	0.063	0.062	0.068	0.059	0.065	0.045	0.027	0.016	0.009	0.001	0.000	0.000	0.000
0.383	1.248	3.291	4.360	4.412	3.845	4.127	4.278	3.647	3.468	3.555	3.121	2.899	2.377	1.345	2.246	2.664	2.681	2.801	1.958	1.542	1.427	1.560	1.490	1.713	1.216	0.914	1.268	0.917	0.728	0.854	0.593	0.558	0.498	0.555	0.367	0.653	0.334	0.569	0.361	0.366	0.386	0.361	0.230	0.426	0.679	0.328	0.343	0.449	0.312	0.252	0.281	0.166	0.178	0.168	0.211	0.132	0.091	0.060	0.028	0.013	0.001	0.000	0.000	0.000
0.394	1.094	3.256	4.361	4.420	3.847	4.102	4.237	3.568	3.400	3.556	3.160	2.949	2.519	1.892	2.496	2.749	2.603	2.507	1.763	1.845	1.656	1.495	1.375	1.587	1.162	0.793	1.145	0.929	0.753	0.716	0.500	0.571	0.523	0.530	0.413	0.855	0.403	0.648	0.630	0.526	0.480	0.406	0.318	0.484	0.922	0.475	0.463	0.618	0.400	0.385	0.345	0.233	0.270	0.264	0.299	0.175	0.106	0.100	0.044	0.018	0.001	0.000	0.000	0.000
0.406	1.005	3.266	4.361	4.439	3.842	4.050	4.235	3.554	3.353	3.606	3.283	3.035	2.562	1.474	2.116	2.581	2.297	2.419	2.065	1.910	1.933	1.452	1.605	1.710	0.936	0.621	1.060	0.791	0.707	0.753	0.508	0.424	0.365	0.302	0.426	0.843	0.380	0.358	0.581	0.377	0.440	0.397	0.388	0.314	0.599	0.390	0.401	0.561	0.372	0.370	0.242	0.204	0.258	0.207	0.176	0.140	0.083	0.081	0.037	0.014	0.000	0.000	0.000	0.000
0.417	0.359	3.214	4.349	4.437	3.833	4.007	4.186	3.485	3.345	3.530	3.088	2.984	2.621	1.953	2.447	2.664	2.595	2.520	2.107	2.062	1.747	1.206	1.285	1.842	1.293	0.731	1.090	0.793	0.516	0.664	0.522	0.415	0.348	0.412	0.416	0.482	0.327	0.374	0.406	0.383	0.342	0.293	0.299	0.235	0.268	0.206	0.262	0.427	0.238	0.235	0.178	0.163	0.185	0.129	0.105	0.101	0.066	0.056	0.032	0.012	0.000	0.000	0.000	0.000
0.429	0.716	3.217	4.338	4.418	3.819	3.991	4.147	3.466	3.287	3.568	3.274	3.008	2.568	1.756	2.277	2.696	2.523	2.582	1.920	1.669	1.281	1.272	1.576	1.744	1.236	0.739	1.088	0.706	0.515	0.641	0.437	0.327	0.303	0.308	0.307	0.498	0.225	0.312	0.260	0.278	0.220	0.156	0.188	0.153	0.192	0.151	0.164	0.221	0.159	0.177	0.124	0.120	0.116	0.089	0.083	0.078	0.045	0.048	0.034	0.011	0.001	0.000	0.000	0.000
