time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.100	1.624	2.975	3.368	3.865	4.444	4.376	3.788	3.301	3.499	3.710	3.208	2.360	2.099	2.325	2.559	2.276	2.613	2.480	1.803	2.160	1.980	1.544	2.896	2.550	2.668	2.645	2.028	2.491	2.437	2.165	2.007	0.749	1.167	1.404	1.422	1.638	1.407	1.223	1.108	1.104	1.070	1.618	1.214	1.085	1.518	0.981	1.126	0.961	0.887	0.759	0.605	0.798	0.587	0.582	0.427	0.515	0.365	0.228	0.196	0.100	0.000	0.000	0.000	0.000
0.105	1.633	2.957	3.220	3.709	4.395	4.340	3.792	3.240	3.362	3.795	3.443	2.259	1.019	1.961	2.523	2.094	2.642	2.678	1.711	1.925	1.935	1.628	3.058	2.576	2.655	2.371	1.998	2.630	2.648	2.213	2.123	0.990	1.258	1.375	1.340	1.601	1.373	1.100	0.994	0.929	1.175	1.581	1.184	1.128	1.491	0.972	1.091	0.798	0.894	0.701	0.629	0.760	0.633	0.547	0.408	0.506	0.362	0.231	0.205	0.090	0.001	0.000	0.000	0.000
0.110	1.664	2.852	3.263	3.780	4.369	4.156	3.550	3.385	3.505	3.942	3.680	2.615	1.759	1.989	2.398	2.183	2.742	2.699	1.678	1.569	1.809	1.851	3.213	2.762	2.457	2.225	2.129	2.617	2.759	2.147	2.234	1.241	1.374	1.289	1.303	1.584	1.229	0.944	0.926	0.846	1.248	1.507	1.178	1.224	1.466	0.944	1.006	0.670	0.902	0.731	0.638	0.744	0.643	0.505	0.401	0.471	0.340	0.239	0.207	0.093	0.005	0.000	0.000	0.000
0.115	1.366	2.736	3.304	3.784	4.319	4.062	3.405	3.412	3.607	4.058	3.909	3.135	2.290	2.171	2.395	2.224	2.808	2.575	1.713	1.405	1.624	2.070	3.332	2.843	2.077	2.174	2.303	2.527	2.776	1.982	2.250	1.442	1.419	1.145	1.330	1.611	1.001	1.043	0.971	0.868	1.255	1.409	1.216	1.281	1.427	0.896	0.914	0.687	0.878	0.777	0.634	0.738	0.628	0.461	0.412	0.415	0.308	0.231	0.207	0.103	0.013	0.000	0.000	0.000
0.119	1.248	2.667	3.275	3.632	4.228	4.225	3.679	3.217	3.509	4.096	4.032	3.439	2.798	2.662	2.627	2.316	2.858	2.448	1.654	1.419	1.473	2.215	3.378	2.761	1.733	2.241	2.406	2.448	2.646	1.698	2.148	1.584	1.388	1.106	1.370	1.577	0.805	1.136	1.029	0.955	1.213	1.303	1.233	1.282	1.337	0.831	0.914	0.788	0.836	0.791	0.616	0.721	0.610	0.439	0.417	0.402	0.295	0.219	0.195	0.112	0.023	0.000	0.000	0.000
0.124	1.162	2.632	3.230	3.571	4.214	4.278	3.732	3.010	3.383	4.051	3.999	3.516	3.069	2.980	2.879	2.613	2.994	2.567	1.517	1.533	1.401	2.263	3.342	2.477	1.922	2.469	2.478	2.607	2.484	1.363	1.932	1.608	1.363	1.130	1.457	1.472	0.877	1.150	1.075	1.119	1.219	1.191	1.178	1.262	1.266	0.847	0.944	0.902	0.785	0.824	0.602	0.687	0.594	0.448	0.417	0.410	0.314	0.226	0.184	0.119	0.035	0.000	0.000	0.000
0.129	1.332	2.620	3.182	3.699	4.296	4.201	3.563	3.238	3.530	3.925	3.784	3.370	3.071	3.064	3.077	2.767	3.056	2.708	1.303	1.652	1.566	2.275	3.278	2.122	2.256	2.578	2.472	2.794	2.581	1.093	1.753	1.563	1.351	1.245	1.573	1.406	1.034	1.120	1.186	1.227	1.261	1.131	1.103	1.314	1.263	0.858	0.969	0.960	0.743	0.847	0.593	0.629	0.575	0.454	0.420	0.438	0.329	0.239	0.183	0.121	0.045	0.000	0.000	0.000
0.134	1.356	2.639	3.065	3.714	4.343	4.118	3.373	3.296	3.528	3.734	3.382	2.934	2.826	2.934	3.179	2.721	2.952	2.733	1.273	1.721	1.695	2.262	3.339	2.253	2.503	2.493	2.404	2.828	2.646	0.961	1.770	1.582	1.407	1.416	1.601	1.493	1.109	1.079	1.369	1.268	1.282	1.128	0.997	1.365	1.260	0.837	0.979	0.959	0.729	0.832	0.585	0.609	0.532	0.443	0.416	0.448	0.336	0.247	0.185	0.122	0.053	0.000	0.000	0.000
0.139	1.618	2.730	2.839	3.598	4.333	4.168	3.506	3.192	3.362	3.577	3.093	2.294	2.000	2.597	3.165	2.781	2.937	2.638	1.471	1.814	1.776	2.253	3.475	2.546	2.610	2.229	2.252	2.689	2.667	1.281	1.830	1.524	1.419	1.526	1.510	1.549	1.114	1.073	1.431	1.219	1.265	1.204	0.946	1.378	1.257	0.861	0.927	0.975	0.733	0.766	0.557	0.640	0.510	0.421	0.390	0.437	0.346	0.254	0.187	0.125	0.059	0.000	0.000	0.000
0.144	1.833	2.806	2.949	3.642	4.311	4.147	3.548	3.237	3.365	3.643	3.270	2.046	1.424	2.537	3.037	2.900	3.064	2.595	1.575	1.873	1.905	2.331	3.609	2.767	2.578	1.983	2.065	2.423	2.657	1.481	1.820	1.419	1.334	1.532	1.348	1.519	1.218	1.192	1.362	1.123	1.187	1.298	0.903	1.327	1.252	0.942	0.831	0.991	0.761	0.676	0.521	0.646	0.519	0.445	0.394	0.413	0.345	0.250	0.187	0.123	0.063	0.000	0.000	0.000
0.149	1.902	2.831	3.159	3.735	4.281	4.000	3.379	3.417	3.520	3.819	3.563	2.634	1.923	2.522	2.974	2.807	3.170	2.783	1.575	1.859	2.015	2.435	3.707	2.876	2.408	1.856	1.911	2.286	2.700	1.517	1.725	1.293	1.174	1.423	1.207	1.447	1.409	1.255	1.172	1.015	1.069	1.355	0.901	1.243	1.200	0.988	0.773	0.993	0.803	0.650	0.525	0.630	0.541	0.475	0.400	0.393	0.333	0.243	0.186	0.119	0.072	0.000	0.000	0.000
0.154	1.869	2.761	3.215	3.656	4.215	3.997	3.417	3.428	3.515	3.924	3.829	3.203	2.440	2.663	3.072	2.801	3.246	2.958	1.498	1.762	2.071	2.477	3.731	2.861	2.168	1.699	1.753	2.327	2.718	1.518	1.564	1.091	1.046	1.265	1.115	1.412	1.560	1.250	0.945	0.969	0.925	1.426	0.924	1.259	1.133	0.952	0.781	1.055	0.821	0.649	0.568	0.629	0.559	0.485	0.393	0.371	0.315	0.233	0.182	0.116	0.075	0.000	0.000	0.000
0.159	1.563	2.603	3.169	3.525	4.157	4.186	3.684	3.278	3.373	3.946	3.955	3.461	2.966	3.106	3.246	2.955	3.280	2.999	1.590	1.653	2.182	2.479	3.670	2.715	2.013	1.900	1.588	2.344	2.646	1.575	1.485	1.080	0.997	1.247	1.073	1.374	1.587	1.253	0.802	0.966	0.916	1.449	0.965	1.361	1.077	0.832	0.799	1.100	0.822	0.661	0.613	0.651	0.566	0.460	0.384	0.329	0.304	0.234	0.184	0.111	0.070	0.000	0.000	0.000
0.165	1.360	2.289	3.092	3.704	4.272	4.244	3.699	3.277	3.399	3.906	3.913	3.493	3.152	3.324	3.428	2.989	3.148	2.893	1.807	1.860	2.286	2.382	3.535	2.557	2.023	2.187	1.528	2.321	2.528	1.720	1.665	1.230	1.147	1.340	1.113	1.315	1.527	1.210	0.770	0.969	0.932	1.403	0.975	1.426	1.086	0.697	0.765	1.073	0.837	0.685	0.625	0.650	0.571	0.434	0.388	0.296	0.305	0.241	0.188	0.110	0.057	0.000	0.000	0.000
0.170	1.126	1.843	2.977	3.971	4.459	4.163	3.471	3.378	3.494	3.822	3.683	3.299	3.084	3.337	3.536	2.788	2.889	2.766	1.927	1.997	2.356	2.207	3.369	2.392	2.092	2.334	1.767	2.350	2.440	1.834	1.876	1.374	1.274	1.450	1.145	1.254	1.446	1.173	0.781	0.993	0.962	1.290	0.951	1.420	1.130	0.627	0.749	0.999	0.847	0.666	0.601	0.625	0.585	0.404	0.411	0.286	0.314	0.247	0.184	0.111	0.043	0.000	0.000	0.000
0.175	1.245	1.370	2.865	4.105	4.574	4.169	3.422	3.319	3.429	3.727	3.334	2.883	2.817	3.209	3.530	3.071	3.059	2.861	1.996	2.161	2.400	1.958	3.247	2.293	2.114	2.329	2.086	2.317	2.404	1.868	2.037	1.433	1.326	1.561	1.238	1.353	1.312	1.175	0.796	1.041	1.006	1.149	0.984	1.322	1.147	0.652	0.753	0.916	0.827	0.624	0.570	0.616	0.639	0.357	0.426	0.298	0.313	0.253	0.168	0.112	0.032	0.000	0.000	0.000
0.180	1.284	1.324	2.758	4.107	4.604	4.301	3.644	3.248	3.440	3.756	3.307	2.692	2.569	3.087	3.437	3.108	3.105	2.968	1.984	2.342	2.577	2.006	3.173	2.309	2.131	2.167	2.232	2.175	2.357	1.933	2.097	1.575	1.320	1.628	1.333	1.507	1.230	1.249	0.860	1.066	1.041	1.100	1.002	1.144	1.146	0.682	0.779	0.839	0.770	0.616	0.588	0.625	0.713	0.330	0.431	0.314	0.301	0.248	0.159	0.110	0.025	0.000	0.000	0.000
0.185	1.238	1.326	2.578	4.001	4.570	4.303	3.643	3.493	3.720	3.937	3.526	2.658	2.719	3.024	3.258	2.924	2.902	2.914	1.895	2.449	2.655	2.105	3.122	2.351	2.246	2.044	2.209	2.006	2.280	2.002	2.078	1.887	1.326	1.928	1.567	1.583	1.252	1.359	1.102	1.212	1.080	1.169	1.002	0.946	1.166	0.726	0.805	0.768	0.727	0.620	0.613	0.655	0.735	0.387	0.422	0.304	0.275	0.230	0.166	0.111	0.020	0.000	0.000	0.000
0.190	1.437	1.607	2.387	3.817	4.512	4.187	3.440	3.639	3.824	4.107	3.827	3.166	3.124	3.032	3.150	2.879	2.670	2.718	1.915	2.421	2.637	2.192	3.077	2.417	2.460	1.952	2.057	1.928	2.126	2.063	2.021	2.083	1.484	2.300	1.719	1.548	1.345	1.399	1.367	1.464	1.146	1.244	0.992	0.903	1.165	0.741	0.778	0.693	0.694	0.637	0.636	0.657	0.689	0.466	0.423	0.291	0.244	0.211	0.173	0.116	0.020	0.000	0.000	0.000
0.195	1.375	2.244	2.701	3.737	4.507	4.319	3.638	3.557	3.702	4.146	4.108	3.776	3.610	3.427	3.357	3.047	2.577	2.529	1.960	2.260	2.474	2.216	2.984	2.568	2.644	1.996	1.981	1.774	1.878	1.996	1.848	2.122	1.706	2.564	1.753	1.418	1.371	1.331	1.524	1.644	1.227	1.230	0.949	1.017	1.176	0.747	0.713	0.684	0.688	0.664	0.644	0.628	0.606	0.517	0.418	0.291	0.223	0.198	0.175	0.121	0.024	0.000	0.000	0.000
0.200	1.364	2.483	3.114	3.970	4.623	4.516	3.827	3.212	3.420	4.060	4.207	4.091	3.943	3.740	3.536	3.030	2.463	2.566	1.997	2.017	2.157	2.018	2.808	2.613	2.665	2.029	1.948	1.794	1.952	2.043	1.992	2.145	1.812	2.674	1.682	1.246	1.281	1.184	1.559	1.688	1.263	1.169	0.918	1.108	1.167	0.772	0.649	0.696	0.692	0.677	0.628	0.608	0.535	0.529	0.393	0.309	0.202	0.184	0.168	0.123	0.030	0.000	0.000	0.000
0.205	1.266	2.574	3.362	4.217	4.756	4.589	3.785	2.979	3.271	3.879	4.095	4.178	4.080	3.804	3.574	2.911	2.247	2.626	2.112	1.866	1.815	1.559	2.614	2.539	2.577	2.157	2.112	1.890	2.113	2.256	2.234	2.230	1.780	2.654	1.531	1.174	1.052	0.997	1.521	1.631	1.279	1.104	0.900	1.100	1.145	0.789	0.620	0.679	0.671	0.675	0.607	0.591	0.489	0.505	0.368	0.319	0.206	0.175	0.158	0.120	0.039	0.000	0.000	0.000
0.209	1.438	2.636	3.416	4.288	4.822	4.567	3.603	2.981	3.277	3.681	3.764	4.076	4.035	3.634	3.504	2.886	2.149	2.554	2.190	1.899	1.649	1.514	2.660	2.448	2.492	2.206	2.282	1.960	2.151	2.378	2.319	2.283	1.703	2.587	1.364	1.221	0.899	0.957	1.426	1.595	1.276	1.030	0.976	1.020	1.118	0.781	0.615	0.648	0.658	0.670	0.588	0.582	0.478	0.479	0.349	0.319	0.235	0.172	0.148	0.113	0.049	0.000	0.000	0.000
0.214	1.163	2.698	3.286	4.178	4.812	4.571	3.539	2.815	3.137	3.496	3.445	3.914	3.896	3.442	3.442	2.784	2.070	2.484	2.167	1.928	1.530	1.635	2.775	2.440	2.445	2.232	2.326	2.010	2.167	2.369	2.322	2.266	1.611	2.551	1.330	1.280	1.002	1.049	1.352	1.653	1.300	1.007	1.038	0.965	1.068	0.731	0.618	0.615	0.676	0.662	0.578	0.583	0.471	0.465	0.359	0.310	0.263	0.172	0.138	0.106	0.055	0.000	0.000	0.000
0.219	1.201	2.671	3.067	4.028	4.788	4.609	3.520	2.595	3.152	3.495	3.451	3.826	3.913	3.605	3.437	2.779	2.258	2.594	2.011	1.902	1.431	1.639	2.844	2.317	2.497	2.477	2.281	1.937	2.288	2.332	2.233	2.184	1.517	2.532	1.302	1.300	1.196	1.167	1.368	1.758	1.297	1.040	1.088	0.944	1.007	0.650	0.571	0.682	0.687	0.663	0.581	0.562	0.466	0.472	0.378	0.308	0.280	0.171	0.129	0.100	0.055	0.000	0.000	0.000
0.224	1.206	2.531	3.110	4.093	4.812	4.623	3.558	2.874	3.323	3.663	3.423	3.647	3.969	3.714	3.424	2.932	2.464	2.676	1.933	1.862	1.833	1.862	2.868	2.103	2.448	2.689	2.242	1.811	2.399	2.333	2.284	2.253	1.467	2.468	1.182	1.268	1.356	1.165	1.419	1.779	1.215	1.130	1.123	0.951	1.063	0.626	0.501	0.773	0.678	0.657	0.574	0.512	0.462	0.531	0.411	0.314	0.296	0.170	0.125	0.098	0.050	0.000	0.000	0.000
0.229	1.052	2.429	3.202	4.179	4.849	4.653	3.665	3.026	3.352	3.782	3.407	3.586	3.971	3.602	3.376	2.930	2.357	2.606	1.972	1.962	2.151	1.987	2.933	2.223	2.426	2.765	2.181	1.784	2.365	2.274	2.296	2.264	1.475	2.364	1.021	1.189	1.393	1.056	1.377	1.693	1.086	1.203	1.086	0.937	1.105	0.667	0.541	0.831	0.669	0.645	0.539	0.470	0.459	0.556	0.438	0.314	0.311	0.179	0.128	0.099	0.045	0.000	0.000	0.000
0.234	1.176	2.576	3.186	4.122	4.850	4.737	3.822	2.914	3.208	3.785	3.818	3.948	3.956	3.458	3.322	2.853	2.069	2.443	1.951	2.113	2.369	2.056	3.047	2.447	2.423	2.775	2.155	1.988	2.240	2.105	2.188	2.142	1.615	2.323	1.125	1.202	1.332	0.974	1.270	1.525	0.993	1.221	1.091	1.000	1.125	0.678	0.639	0.863	0.654	0.616	0.498	0.482	0.442	0.534	0.440	0.305	0.314	0.197	0.129	0.101	0.041	0.000	0.000	0.000
0.239	1.148	2.717	3.180	4.035	4.844	4.794	3.869	2.676	3.108	3.752	3.929	4.062	4.013	3.595	3.367	2.911	2.202	2.488	1.985	2.182	2.467	2.116	3.162	2.547	2.420	2.678	2.055	2.193	2.180	1.910	2.102	2.107	1.664	2.278	1.282	1.177	1.252	0.955	1.154	1.462	0.973	1.177	1.183	1.088	1.120	0.689	0.728	0.891	0.639	0.582	0.467	0.509	0.407	0.485	0.423	0.292	0.303	0.223	0.131	0.099	0.040	0.000	0.000	0.000
