time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.121	1.696	2.645	2.886	3.616	4.305	4.111	3.570	3.439	3.566	4.004	3.897	3.188	2.317	2.039	2.252	1.829	1.862	2.395	2.172	2.144	1.577	1.385	2.585	2.526	2.356	2.637	2.033	2.428	1.906	2.105	1.994	1.633	1.010	0.936	1.211	1.706	1.174	1.111	1.122	0.940	1.173	1.313	1.041	1.226	1.100	1.050	1.196	1.160	0.935	1.044	0.616	0.804	0.626	0.532	0.505	0.450	0.321	0.240	0.182	0.097	0.000	0.000	0.000	0.000
0.127	1.356	2.697	2.975	3.682	4.257	3.691	2.611	3.057	3.435	3.995	3.972	3.394	2.513	2.091	2.262	1.917	2.060	2.252	1.893	1.982	1.662	1.380	2.525	2.421	2.126	2.682	2.250	2.367	1.846	1.952	1.911	1.474	0.963	0.998	1.206	1.633	1.103	1.236	1.192	1.040	1.153	1.398	1.178	1.114	1.218	1.132	1.078	1.128	0.860	1.037	0.589	0.802	0.659	0.579	0.503	0.480	0.355	0.238	0.171	0.101	0.000	0.000	0.000	0.000
0.133	1.483	2.776	3.358	3.983	4.356	3.905	2.716	2.619	3.384	3.908	3.821	3.331	2.768	2.405	2.340	1.918	2.041	1.901	1.816	2.025	1.739	1.429	2.477	2.169	2.076	2.848	2.341	2.051	1.773	1.926	1.863	1.252	0.950	1.178	1.293	1.543	1.063	1.275	1.216	1.220	1.112	1.450	1.256	1.065	1.396	1.125	0.937	1.059	0.848	1.003	0.564	0.807	0.629	0.626	0.488	0.494	0.367	0.242	0.173	0.106	0.000	0.000	0.000	0.000
0.139	1.725	2.872	3.504	4.087	4.462	4.169	3.384	3.184	3.565	3.799	3.425	2.936	2.736	2.532	2.484	2.141	2.268	1.894	1.793	2.202	1.911	1.440	2.626	2.318	2.412	2.877	2.232	2.043	1.993	2.063	1.965	0.970	1.010	1.327	1.382	1.577	1.258	1.278	1.221	1.262	1.061	1.543	1.244	1.044	1.513	1.018	1.006	1.038	0.852	0.913	0.563	0.826	0.563	0.615	0.472	0.496	0.365	0.239	0.179	0.109	0.000	0.000	0.000	0.000
0.145	1.620	2.966	3.408	3.916	4.455	4.362	3.755	3.309	3.533	3.711	3.174	2.395	2.276	2.392	2.552	2.281	2.581	2.408	1.808	2.190	1.985	1.544	2.858	2.533	2.648	2.699	2.054	2.439	2.369	2.144	1.996	0.748	1.151	1.400	1.431	1.638	1.397	1.239	1.135	1.135	1.050	1.616	1.224	1.083	1.525	0.983	1.118	0.984	0.882	0.781	0.598	0.802	0.577	0.588	0.435	0.513	0.365	0.229	0.193	0.102	0.000	0.000	0.000	0.000
0.150	1.634	2.961	3.223	3.710	4.397	4.346	3.798	3.238	3.363	3.787	3.429	2.259	1.000	1.954	2.528	2.110	2.644	2.672	1.720	1.942	1.939	1.620	3.050	2.573	2.660	2.386	1.995	2.626	2.640	2.213	2.116	0.974	1.251	1.378	1.345	1.604	1.379	1.109	1.000	0.938	1.170	1.584	1.185	1.124	1.492	0.973	1.095	0.809	0.894	0.702	0.628	0.762	0.631	0.549	0.409	0.507	0.363	0.231	0.205	0.090	0.001	0.000	0.000	0.000
0.156	1.670	2.839	3.270	3.788	4.366	4.130	3.509	3.398	3.524	3.958	3.707	2.674	1.817	1.992	2.389	2.199	2.755	2.691	1.687	1.532	1.790	1.877	3.228	2.778	2.424	2.223	2.147	2.609	2.768	2.134	2.242	1.263	1.383	1.276	1.308	1.587	1.209	0.938	0.925	0.849	1.253	1.496	1.181	1.234	1.463	0.940	0.995	0.666	0.901	0.737	0.638	0.743	0.642	0.500	0.402	0.465	0.336	0.238	0.207	0.094	0.006	0.000	0.000	0.000
0.162	1.119	2.706	3.302	3.753	4.296	4.108	3.489	3.382	3.599	4.076	3.957	3.241	2.442	2.303	2.441	2.226	2.816	2.528	1.705	1.405	1.577	2.119	3.353	2.839	1.954	2.150	2.341	2.494	2.754	1.917	2.234	1.491	1.415	1.115	1.338	1.609	0.922	1.075	0.986	0.873	1.244	1.384	1.228	1.285	1.408	0.877	0.895	0.705	0.868	0.782	0.630	0.734	0.622	0.452	0.413	0.407	0.301	0.227	0.205	0.105	0.015	0.000	0.000	0.000
0.168	1.248	2.654	3.253	3.571	4.204	4.265	3.731	3.074	3.419	4.087	4.038	3.498	2.951	2.832	2.743	2.441	2.913	2.476	1.613	1.457	1.423	2.245	3.372	2.662	1.750	2.340	2.441	2.496	2.564	1.534	2.066	1.610	1.378	1.115	1.389	1.540	0.810	1.150	1.049	1.032	1.207	1.244	1.215	1.272	1.295	0.833	0.929	0.842	0.815	0.800	0.610	0.710	0.603	0.441	0.417	0.403	0.302	0.219	0.189	0.116	0.028	0.000	0.000	0.000
0.174	1.043	2.615	3.207	3.648	4.262	4.244	3.656	3.155	3.477	3.984	3.894	3.457	3.099	3.057	3.007	2.727	3.049	2.662	1.383	1.615	1.486	2.270	3.297	2.238	2.132	2.557	2.487	2.733	2.528	1.204	1.799	1.574	1.347	1.193	1.533	1.395	0.978	1.135	1.121	1.190	1.248	1.152	1.134	1.283	1.261	0.859	0.955	0.946	0.756	0.842	0.595	0.652	0.584	0.453	0.419	0.427	0.325	0.235	0.182	0.120	0.042	0.000	0.000	0.000
0.179	1.445	2.630	3.103	3.727	4.339	4.122	3.383	3.300	3.548	3.784	3.487	3.069	2.914	2.982	3.165	2.752	2.991	2.739	1.244	1.705	1.675	2.269	3.313	2.188	2.457	2.530	2.425	2.836	2.641	0.958	1.755	1.580	1.394	1.376	1.604	1.475	1.100	1.090	1.335	1.266	1.273	1.118	1.024	1.356	1.263	0.842	0.981	0.960	0.732	0.839	0.587	0.608	0.543	0.448	0.419	0.448	0.334	0.245	0.185	0.122	0.052	0.000	0.000	0.000
0.185	1.594	2.723	2.853	3.606	4.335	4.166	3.497	3.201	3.374	3.581	3.095	2.332	2.096	2.628	3.170	2.762	2.927	2.647	1.461	1.809	1.769	2.250	3.464	2.526	2.607	2.253	2.268	2.705	2.667	1.258	1.828	1.532	1.421	1.521	1.521	1.547	1.113	1.068	1.431	1.225	1.268	1.199	0.950	1.379	1.256	0.858	0.933	0.973	0.731	0.773	0.560	0.638	0.511	0.422	0.392	0.438	0.345	0.254	0.187	0.125	0.058	0.000	0.000	0.000
