time	11Hz	32Hz	54Hz	75Hz	97Hz	118Hz	140Hz	161Hz	183Hz	205Hz	226Hz	248Hz	269Hz	291Hz	312Hz	334Hz	366Hz	409Hz	452Hz	495Hz	538Hz	581Hz	624Hz	668Hz	732Hz	818Hz	904Hz	991Hz	1077Hz	1163Hz	1249Hz	1335Hz	1464Hz	1637Hz	1809Hz	1981Hz	2153Hz	2326Hz	2498Hz	2670Hz	2929Hz	3273Hz	3618Hz	3962Hz	4307Hz	4651Hz	4996Hz	5340Hz	5857Hz	6546Hz	7235Hz	7924Hz	8613Hz	9302Hz	9991Hz	10680Hz	11714Hz	13092Hz	14470Hz	15848Hz	17227Hz	18605Hz	19983Hz	21361Hz
0.203	3.768	4.019	4.284	4.523	3.906	3.512	3.623	2.920	2.716	2.802	2.989	3.438	2.906	2.000	2.145	2.109	2.781	2.857	2.115	2.034	1.254	0.875	1.351	1.755	1.429	1.386	0.718	0.911	1.009	0.379	0.352	0.472	0.262	0.245	0.327	0.644	0.215	0.137	0.274	0.102	0.073	0.096	0.051	0.043	0.107	0.095	0.083	0.154	0.082	0.147	0.066	0.072	0.138	0.064	0.119	0.139	0.068	0.065	0.027	0.014	0.000	0.000	0.000	0.000
0.208	3.789	4.394	4.699	4.608	3.827	3.418	3.615	2.917	2.742	3.036	3.229	3.501	3.071	2.269	2.160	2.263	2.538	2.622	1.704	1.859	1.228	0.897	1.175	1.658	1.444	1.449	0.757	1.033	0.968	0.411	0.307	0.506	0.231	0.194	0.409	0.673	0.182	0.123	0.269	0.098	0.081	0.113	0.057	0.048	0.097	0.088	0.077	0.113	0.084	0.151	0.062	0.066	0.123	0.049	0.099	0.142	0.067	0.057	0.027	0.014	0.000	0.000	0.000	0.000
0.214	3.509	4.556	4.901	4.680	3.813	3.411	3.543	3.003	2.876	3.132	3.357	3.542	3.213	2.398	1.907	2.096	2.562	2.584	1.511	1.702	1.404	0.770	0.869	1.339	1.391	1.417	0.753	1.282	0.881	0.412	0.222	0.474	0.207	0.185	0.444	0.687	0.164	0.121	0.275	0.104	0.091	0.116	0.075	0.052	0.092	0.091	0.064	0.095	0.089	0.157	0.062	0.060	0.116	0.041	0.078	0.136	0.068	0.054	0.027	0.015	0.000	0.000	0.000	0.000
0.220	3.696	4.473	4.863	4.680	3.804	3.325	3.469	2.886	2.864	2.969	3.174	3.502	3.129	2.243	1.676	1.419	2.682	2.762	1.687	1.474	1.461	0.712	1.177	1.420	1.426	1.281	0.684	1.359	0.659	0.423	0.231	0.423	0.216	0.182	0.410	0.688	0.161	0.123	0.273	0.111	0.102	0.107	0.083	0.050	0.088	0.099	0.054	0.092	0.086	0.160	0.066	0.061	0.111	0.039	0.066	0.130	0.065	0.048	0.026	0.014	0.000	0.000	0.000	0.000
0.226	3.594	4.155	4.582	4.603	3.767	3.207	3.387	2.730	2.789	2.845	3.063	3.431	2.845	1.814	1.756	1.411	2.830	2.819	1.592	1.292	1.428	0.690	1.467	1.690	1.445	1.103	0.574	1.342	0.566	0.426	0.337	0.411	0.255	0.162	0.334	0.668	0.157	0.110	0.278	0.112	0.108	0.101	0.081	0.045	0.074	0.092	0.071	0.097	0.075	0.148	0.062	0.065	0.098	0.038	0.059	0.120	0.060	0.040	0.025	0.013	0.000	0.000	0.000	0.000
0.232	3.413	3.408	4.075	4.509	3.781	3.232	3.329	2.724	2.744	3.083	3.320	3.416	2.764	1.760	1.830	1.752	2.903	2.776	1.413	1.326	1.389	0.652	1.551	1.743	1.288	0.978	0.510	1.244	0.671	0.433	0.382	0.400	0.328	0.141	0.296	0.677	0.157	0.104	0.282	0.114	0.101	0.091	0.072	0.053	0.056	0.077	0.092	0.104	0.063	0.130	0.050	0.066	0.082	0.040	0.054	0.108	0.055	0.032	0.023	0.010	0.000	0.000	0.000	0.000
0.238	3.470	3.862	4.390	4.495	3.724	3.147	3.323	2.718	2.721	3.070	3.304	3.435	2.871	1.838	1.690	1.745	2.815	2.734	1.665	1.413	1.519	0.670	1.491	1.778	1.179	0.972	0.454	0.993	0.632	0.424	0.374	0.462	0.369	0.159	0.284	0.666	0.158	0.119	0.257	0.121	0.090	0.075	0.062	0.060	0.041	0.067	0.100	0.120	0.058	0.111	0.041	0.060	0.068	0.045	0.050	0.094	0.051	0.028	0.020	0.009	0.000	0.000	0.000	0.000
0.243	3.189	4.093	4.603	4.518	3.650	3.065	3.265	2.815	2.877	2.762	3.030	3.457	2.821	1.523	1.543	1.213	2.575	2.627	2.015	1.839	1.674	0.780	1.372	1.824	1.275	1.037	0.389	0.701	0.460	0.384	0.334	0.549	0.375	0.172	0.265	0.647	0.147	0.127	0.197	0.112	0.078	0.081	0.056	0.059	0.040	0.070	0.093	0.147	0.060	0.097	0.038	0.056	0.056	0.048	0.051	0.085	0.047	0.028	0.017	0.008	0.000	0.000	0.000	0.000
0.249	3.033	4.024	4.603	4.516	3.658	3.024	3.144	2.769	2.851	2.922	3.228	3.521	2.961	1.791	1.580	1.420	2.366	2.364	2.160	2.205	1.678	0.809	1.177	1.670	1.248	1.095	0.441	0.707	0.585	0.330	0.290	0.566	0.328	0.198	0.252	0.628	0.137	0.136	0.221	0.150	0.095	0.128	0.068	0.070	0.080	0.098	0.098	0.173	0.094	0.101	0.048	0.062	0.057	0.051	0.055	0.077	0.044	0.028	0.016	0.008	0.000	0.000	0.000	0.000
0.255	3.023	3.710	4.415	4.467	3.614	2.832	2.997	2.452	2.635	3.002	3.416	3.609	3.107	2.217	1.607	1.829	2.368	2.249	2.195	2.358	1.622	1.229	1.172	1.358	1.176	1.182	0.824	0.981	0.733	0.523	0.551	0.630	0.393	0.448	0.393	0.605	0.281	0.154	0.336	0.254	0.238	0.296	0.131	0.137	0.203	0.164	0.152	0.219	0.196	0.126	0.091	0.103	0.079	0.071	0.067	0.079	0.044	0.028	0.016	0.008	0.001	0.000	0.000	0.000
0.261	2.580	3.389	4.145	4.340	3.798	3.112	2.755	2.645	3.037	2.888	3.456	3.727	3.108	2.738	2.599	2.709	3.045	2.712	2.240	2.285	2.005	2.085	2.191	2.150	1.612	1.400	1.592	1.672	1.121	0.974	1.317	1.158	0.775	0.908	0.704	0.679	0.582	0.414	0.522	0.469	0.504	0.557	0.288	0.270	0.431	0.387	0.271	0.282	0.326	0.184	0.166	0.172	0.144	0.113	0.109	0.126	0.068	0.036	0.017	0.009	0.002	0.000	0.000	0.000
0.267	2.775	3.544	4.034	4.070	3.884	3.424	2.534	2.845	3.356	3.373	3.810	3.986	3.579	3.411	3.358	3.330	3.550	3.124	2.300	2.104	2.263	2.564	2.688	2.643	2.023	1.617	2.052	2.127	1.474	1.252	1.777	1.566	1.078	1.243	0.921	0.807	0.820	0.727	0.872	0.718	0.766	0.805	0.457	0.417	0.700	0.711	0.423	0.369	0.452	0.288	0.253	0.258	0.329	0.164	0.181	0.278	0.118	0.080	0.028	0.012	0.004	0.000	0.000	0.000
0.272	2.811	3.865	4.068	3.767	3.866	3.625	2.535	3.089	3.510	3.571	3.997	4.207	4.002	3.813	3.685	3.517	3.745	3.306	2.159	2.090	2.327	2.747	2.830	2.822	2.150	1.650	2.249	2.297	1.596	1.368	1.964	1.715	1.276	1.390	1.021	0.885	0.899	0.911	1.085	0.854	0.911	0.940	0.557	0.541	0.903	0.939	0.538	0.449	0.545	0.424	0.316	0.346	0.503	0.207	0.238	0.430	0.162	0.128	0.043	0.014	0.007	0.000	0.000	0.000
0.278	3.166	4.036	4.136	3.831	4.035	3.953	3.419	3.523	3.480	3.409	3.940	4.246	4.120	3.873	3.727	3.372	3.675	3.305	1.709	2.009	2.169	2.677	2.682	2.759	2.027	1.499	2.235	2.209	1.544	1.532	1.919	1.623	1.360	1.365	1.061	0.901	0.828	0.958	1.116	0.848	0.911	0.935	0.570	0.621	0.976	1.039	0.582	0.474	0.593	0.528	0.335	0.390	0.583	0.227	0.251	0.506	0.172	0.151	0.051	0.015	0.009	0.000	0.000	0.000
0.284	3.224	4.143	4.105	3.837	4.149	4.197	3.925	3.734	3.218	2.872	3.637	4.075	3.940	3.598	3.537	2.888	3.370	3.243	1.831	2.056	1.821	2.370	2.245	2.500	1.728	1.338	2.065	1.895	1.331	1.647	1.685	1.302	1.358	1.211	1.020	0.905	0.677	0.941	0.990	0.758	0.792	0.827	0.531	0.633	0.927	0.993	0.559	0.440	0.559	0.538	0.314	0.380	0.553	0.220	0.225	0.486	0.148	0.139	0.047	0.013	0.010	0.000	0.000	0.000
